,wahre_labels,nearestneighbour,catch22,shapelets,rocket
235422,False,False,0.01,0.03699602,0.0
235494,False,False,0.0,0.05572613,0.0
236023,False,False,0.0,0.008752319,0.0
240408,False,False,0.0,0.044645432,0.0
240657,False,False,0.0,0.15170221,0.0
240729,False,False,0.0,0.02143732,0.0
241263,False,False,0.0,0.017292429,0.0
241461,False,False,0.0,0.017528905,0.0
241709,False,False,0.0,0.07575228,0.0
241782,False,False,0.0,0.009389107,0.0
242326,False,False,0.03,0.060209043,0.0
242509,False,False,0.0,0.02146371,0.0
242757,False,False,0.01,0.07524153,0.0
242829,False,False,0.0,0.00749161,0.0
243440,False,False,0.02,0.002787097,0.0
243560,False,False,0.0,0.013918197,0.0
243808,False,False,0.005,0.0080339,0.0
243882,False,False,0.0,0.040671196,0.0
244415,False,False,0.0,0.009116842,0.0
245662,False,False,0.0,0.0368189,0.0
245911,False,False,0.01,0.024079887,0.0
245989,False,False,0.005,0.016749743,0.0
246514,False,False,0.0,0.0064603905,0.0
246713,False,False,0.0,0.013723632,0.0
246961,False,False,0.0,0.34521288,0.0
247033,False,False,0.0,0.04581779,0.0
247566,False,False,0.0,0.016764684,0.0
249867,False,False,0.0,0.008384236,0.0
250115,False,False,0.0,0.113907516,0.0
250187,False,False,0.015,0.007219597,0.0
250727,False,False,0.0,0.028959224,0.0
259318,False,False,0.0,0.012177673,0.0
259627,False,False,0.005,0.014720913,0.0
259699,False,False,0.0,0.00903155,0.0
260234,False,False,0.0,0.0052799885,0.0
